PROLIFIC_ID,Trust Tags - Consensus,Valence consensus
63f8dc7bc5e76c51f767134e,Aff: data-cues,Positive
62838cdc775f6094ddf0664b,Aff: data-cues,Negative
5ba345bcf07414000106135e,Aff: data-cues,Positive
5de5dba9ff87c15699804260,Aff: data-cues,Positive
59a88f5b321f870001d16d68,Aff: data-cues,Positive
63d79e5ecdcf4d0dbd646bf6,Aff: data-cues,Positive
5dda0a8b3c870a9824c901f5,Aff: data-cues,Positive
60bd3949b6f6d9c3453e8def,Aff: data-cues,Negative
63d18135c4e44a77f71702e8,Aff: data-cues,Positive
63fb77a17acd544343fb98fb,Aff: data-cues,Positive
5c6c597c42e33400019c72a5,Aff: data-cues,Negative
5865ecf6a7f6480001ed9791,Aff: data-cues,Positive
565c931eba63db00051cd52d,Aff: data-cues,Positive
5a8ac2d8f49c9a0001f3ab34,Aff: data-cues,Neutral
605d0d00436a36ad0d8d6fa5,Aff: data-cues,Positive
6168e3efc08671bd92f7fd37,Aff: data-cues,Positive
61523f5edff0567aa388e752,Aff: data-cues,Negative
5d63179aa3b94d0001da4bb6,Aff: data-cues,Positive
5f7d026c6fd2421d2dc1af04,Aff: data-cues,Neutral
6310dbdfda69599720736665,Aff: data-cues,Neutral
62b1e73c146dfd1d162fdf11,Aff: data-cues,Positive
5dea9fb3cb53ca1cda9f6116,Aff: data-cues,Positive
5bdf513338109a0001f474c8,Aff: data-cues,Positive
60fcd2b146529d02f1566012,Aff: data-cues,Neutral
640e11f99076926cad445e1e,Aff: data-cues,Positive
5d76bf508da7af001b5fa26c,Aff: data-cues,Negative
612fea78b655df755fe7db24,Aff: data-cues,Positive
5bcfb99d77740000016b3dbf,Aff: data-cues,Neutral
5c17294778ee390001ab19e5,Aff: data-cues,Neutral
5d613f02b9233e0018f9450b,Aff: data-cues,Positive
62be632336006d96574e22ef,Aff: data-cues,Positive
5f51667a8dff8f39dba7df7f,Aff: data-cues,Positive
610386b89cf31f6859e7df7c,Aff: data-cues,Positive
612d247d45adec4a638aef83,Aff: data-cues,Neutral
61007138183fbe1c96ac250e,Aff: data-cues,Positive
62728c148af5805feea46dc8,Aff: data-cues,Positive
60fccc2c096c38cc9ad63ff3,Aff: data-cues,Positive
5daa9e16546237001681d0f1,Aff: data-cues,Positive
5e156dbb19232db781789a8f,Aff: data-cues,Positive
565b2be310593c000bff9695,Aff: data-cues,Positive
63181446b17ea16a213403c9,Aff: data-cues,Negative
60fff33b80569cb2f8d1b007,Aff: data-cues,Positive
5f473eafdbc4a2121ceae963,Aff: data-cues,Neutral
640d43c9451ce148162a7643,Aff: data-cues,Neutral
5dd61dcccaee3e5c8b9141cf,Aff: data-cues,Positive
63d8548b51a28912d9fba859,Aff: data-cues,Positive
63ee7c9441abc1335d678cab,Aff: data-cues,Positive
610333282a90d4b77609c5f8,Aff: data-cues,Neutral
5fe3f539dd8cf10e7d545231,Aff: data-cues,Neutral
5ec617a2e79285689c82fb8f,Aff: data-cues,Negative
5f2861ba111b901601482e6f,Aff: data-cues,Positive
6130cdbb53f773b3125576a7,Aff: data-cues,Neutral
5e1f7b2a4c9b832b34e7c9d3,Aff: data-cues,Neutral
63e51bc3169991cfbcd4fe97,Aff: data-cues,Negative
5b894987e79bf50001e1ff95,Aff: data-cues,Positive
5b1a3fa488ee7400012aef74,Aff: data-cues,Positive
610878f08e2b6c83ea3905da,Aff: data-cues,Positive
63e5ffdf639ebdcf35aacb09,Aff: data-cues,Neutral
56fb36ca34a0d3000b1a5701,Aff: data-cues,Positive
5bcc1fce4249b20001bc99f1,Aff: data-cues,Positive
640912d475d8f1047d318723,"Aff: data-cues,Aff: data-benevolence",Positive
6348846ae221cb4a0efbf3f9,"Aff: data-cues,Aff: data-benevolence",Negative
5b6f49b7d60bdd0001ade437,"Aff: data-cues,Aff: data-benevolence",Positive
6139aed4f23d087290d96200,"Aff: data-benevolence,Aff: data-cues",Neutral
5dd405ab80123f3eaae9af80,"Aff: data-benevolence,Aff: data-cues",Negative
63b3208b1734328e43b42532,"Aff: data-cues,Aff: vis-cues",Neutral
63ea7e60bdd3090eb4b0dcc5,"Aff: vis-cues,Aff: data-cues",Positive
61686f8376bd6ff59ea15479,"Aff: data-cues,Aff: vis-cues",Positive
59ba2a6e6495ef00019fbd70,"Aff: data-cues,Aff: vis-cues",Positive
5e8ccdf9b3423e07b04b4853,"Aff: data-cues,Aff: vis-cues",Neutral
607b58309b190663ca83c23f,"Aff: data-cues,Aff: vis-cues",Positive
62dc2f45630616c5920dcb75,"Aff: vis-cues,Aff: data-cues",Positive
6296bef3248bf76cc113926b,"Aff: data-cues,Aff: vis-cues",Positive
5d4b14caed2dfc0001a22c1a,"Aff: data-cues,Aff: vis-cues",Positive
6293ec5a8c59ee7feb09eab7,"Aff: vis-cues,Aff: data-cues",Positive
5e9f766e2535380e106a8c6b,"Aff: data-cues,Aff: vis-cues",Positive
61036102a3f05e2ef6e4e3c6,"Aff: vis-cues,Aff: data-cues",Positive
5c1baf8fdbc4da0001648218,"Aff: data-cues,Individual Characteristics",Positive
60d23790d4dba01a9b2c0085,"Aff: data-cues,Prior Beliefs",Negative
55cb79e0fdf99b3c26ae4bca,"Aff: data-cues,Prior Beliefs",Negative
62b0d68496379e085ae5d793,Aff: data-benevolence,Negative
62fb85a89ccb1ac663b54783,Aff: data-benevolence,Negative
5d6e502d05e693001ea14a37,Aff: data-benevolence,Negative
61004696895aeda4629ecd6e,Aff: data-benevolence,Neutral
63c4a90d09909e33d5e82f21,Aff: data-benevolence,Negative
5a1fa084063e8600012fa6a3,Aff: data-benevolence,Negative
5dbd1569f8223b28d73ed6ae,Aff: data-benevolence,Negative
5e1b5ab486a44538d261922c,Aff: data-benevolence,Negative
5e6bdd2a3ea572199bb7f6b6,Aff: data-benevolence,Positive
561d98e03d7fe8000b0f5e09,Aff: data-benevolence,Positive
610855877c8363d76b3e6338,Aff: data-benevolence,Negative
628eabb243fb4a73e29d9385,Aff: data-benevolence,Negative
5e2b74daae56b71b9d24d89b,Aff: data-benevolence,Positive
5f741b74992460061db87287,Aff: data-benevolence,Negative
611401411bf1ede5a4d85bdc,Aff: data-benevolence,Positive
63d9c4ea4b5efb771f895e11,Aff: data-benevolence,Negative
63d43839677cd9a315302808,Aff: data-benevolence,Positive
609c6cc79875c8f0ba5d2242,Aff: data-benevolence,Negative
5fbb89e20ddd50a66ab62a67,Aff: data-benevolence,Negative
62f9fbc07e4fc1bfe47070e5,Aff: data-benevolence,Positive
