week_start,Years,SubmissionDate,State,State2,Week_Avg
2020-01-27,2020,31-Jan,OK,Oklahoma,0
2020-01-27,2020,31-Jan,OR,Oregon,0
2020-01-27,2020,31-Jan,PA,Pennsylvania,0
2020-01-27,2020,31-Jan,RI,Rhode Island,0
2020-01-27,2020,31-Jan,SC,South Carolina,0
2020-01-27,2020,31-Jan,SD,South Dakota,0
2020-01-27,2020,31-Jan,State,State2,0
2020-01-27,2020,31-Jan,TN,Tennessee,0
2020-01-27,2020,31-Jan,TX,Texas,0
2020-01-27,2020,31-Jan,UT,Utah,0
2020-01-27,2020,31-Jan,VA,Virginia,0
2020-01-27,2020,31-Jan,VT,Vermont,0
2020-01-27,2020,31-Jan,WA,Washington,0
2020-01-27,2020,31-Jan,WI,Wisconsin,0
2020-01-27,2020,31-Jan,WV,West Virginia,0
2020-01-27,2020,31-Jan,WY,Wyoming,0
2020-01-27,2020,01-Feb,AK,Alaska,0
2020-01-27,2020,01-Feb,AL,Alabama,0
2020-01-27,2020,01-Feb,AR,Arkansas,0
2020-01-27,2020,01-Feb,AZ,Arizona,0
2020-01-27,2020,01-Feb,CA,California,0
2020-01-27,2020,01-Feb,CO,Colorado,0
2020-01-27,2020,01-Feb,CT,Connecticut,0
2020-01-27,2020,01-Feb,DE,Delaware,0
2020-01-27,2020,01-Feb,FL,Florida,0
2020-01-27,2020,01-Feb,GA,Georgia,0
2020-01-27,2020,01-Feb,HI,Hawaii,0
2020-01-27,2020,01-Feb,IA,Iowa,0
2020-01-27,2020,01-Feb,ID,Idaho,0
2020-01-27,2020,01-Feb,IL,Illinois,0
2020-01-27,2020,01-Feb,IN,Indiana,0
2020-01-27,2020,01-Feb,KS,Kansas,0
