State,State_short,Max_Week_Day,Week,Year,New_Case,New_Death,Share_Vaccination,New_Case_per_100,New_Death_per_100,Index3
Indiana,IN,20/09/2021,38,2021,20758,315,52,0.20758,0.00315,26
Arizona,AZ,20/09/2021,38,2021,17444,319,59,0.17444,0.00319,26
Louisiana,LA,20/09/2021,38,2021,8841,324,51.5,0.08841,0.00324,26
Ohio,OH,20/09/2021,38,2021,42972,349,54,0.42972,0.00349,26
Alabama,AL,20/09/2021,38,2021,18452,402,52.3,0.18452,0.00402,26
Kentucky,KY,20/09/2021,38,2021,23589,421,60.3,0.23589,0.00421,26
North Carolina,NC,20/09/2021,38,2021,36764,449,58.9,0.36764,0.00449,26
Tennessee,TN,20/09/2021,38,2021,28484,502,52.4,0.28484,0.00502,26
South Carolina,SC,20/09/2021,38,2021,22113,505,54.8,0.22113,0.00505,26
California,CA,18/10/2021,42,2021,38415,734,73.9,0.38415,0.00734,30
Georgia,GA,20/09/2021,38,2021,31305,883,54.6,0.31305,0.00883,26
Florida,FL,20/09/2021,38,2021,50340,1563,66.6,0.5034,0.01563,26
Texas,TX,20/09/2021,38,2021,75907,2112,59.6,0.75907,0.02112,26
New Hampshire,NH,27/09/2021,39,2021,3322,9,70.2,0.03322,0.00009,27
Rhode Island,RI,27/09/2021,39,2021,1981,13,75.4,0.01981,0.00013,27
Maine,ME,27/09/2021,39,2021,2810,13,74.3,0.0281,0.00013,27
Vermont,VT,27/09/2021,39,2021,1112,15,77.8,0.01112,0.00015,27
North Dakota,ND,27/09/2021,39,2021,4322,17,51.2,0.04322,0.00017,27
South Dakota,SD,27/09/2021,39,2021,2668,24,59.4,0.02668,0.00024,27
Delaware,DE,27/09/2021,39,2021,3119,30,66.6,0.03119,0.0003,27
Nebraska,NE,27/09/2021,39,2021,4576,34,59.5,0.04576,0.00034,27
Alaska,AK,27/09/2021,39,2021,7179,37,57.5,0.07179,0.00037,27
Wyoming,WY,27/09/2021,39,2021,3218,41,48.5,0.03218,0.00041,27
Hawaii,HI,27/09/2021,39,2021,2021,54,76.9,0.02021,0.00054,27
New Mexico,NM,27/09/2021,39,2021,4952,63,72.7,0.04952,0.00063,27
Montana,MT,27/09/2021,39,2021,6043,64,54.9,0.06043,0.00064,27
Utah,UT,27/09/2021,39,2021,9553,69,59.1,0.09553,0.00069,27
Kansas,KS,27/09/2021,39,2021,6784,74,60,0.06784,0.00074,27
Iowa,IA,27/09/2021,39,2021,9897,81,58.2,0.09897,0.00081,27
Maryland,MD,27/09/2021,39,2021,8467,90,70.8,0.08467,0.0009,27
Mississippi,MS,27/09/2021,39,2021,6172,93,50.2,0.06172,0.00093,27
Minnesota,MN,27/09/2021,39,2021,17859,103,63.6,0.17859,0.00103,27
Massachusetts,MA,27/09/2021,39,2021,10435,106,77.6,0.10435,0.00106,27
Wisconsin,WI,27/09/2021,39,2021,20329,111,61.1,0.20329,0.00111,27
Connecticut,CT,27/09/2021,39,2021,3218,119,76.4,0.03218,0.00119,27
Oregon,OR,27/09/2021,39,2021,10613,126,66.7,0.10613,0.00126,27
Michigan,MI,27/09/2021,39,2021,27137,128,57.3,0.27137,0.00128,27
Colorado,CO,27/09/2021,39,2021,13476,132,65.7,0.13476,0.00132,27
New Jersey,NJ,27/09/2021,39,2021,12089,142,72.6,0.12089,0.00142,27
Nevada,NV,27/09/2021,39,2021,5796,148,60.9,0.05796,0.00148,27
Arkansas,AR,27/09/2021,39,2021,5343,149,55.9,0.05343,0.00149,27
New York,NY,27/09/2021,39,2021,22978,167,71.5,0.22978,0.00167,27
Missouri,MO,27/09/2021,39,2021,11035,192,55,0.11035,0.00192,27
West Virginia,WV,27/09/2021,39,2021,10245,199,48.3,0.10245,0.00199,27
Idaho,ID,27/09/2021,39,2021,9456,211,47.2,0.09456,0.00211,27
Oklahoma,OK,27/09/2021,39,2021,10590,239,56.7,0.1059,0.00239,27
Louisiana,LA,27/09/2021,39,2021,6939,241,51.9,0.06939,0.00241,27
Illinois,IL,27/09/2021,39,2021,18891,268,68.5,0.18891,0.00268,27
Washington,WA,27/09/2021,39,2021,20374,274,67.4,0.20374,0.00274,27
Virginia,VA,27/09/2021,39,2021,19038,297,68.6,0.19038,0.00297,27
Indiana,IN,27/09/2021,39,2021,17988,303,52.3,0.17988,0.00303,27
Arizona,AZ,27/09/2021,39,2021,18377,328,59.4,0.18377,0.00328,27
Alabama,AL,27/09/2021,39,2021,11445,354,52.8,0.11445,0.00354,27
Tennessee,TN,27/09/2021,39,2021,21794,359,52.8,0.21794,0.00359,27
Pennsylvania,PA,27/09/2021,39,2021,30892,360,72.8,0.30892,0.0036,27
Kentucky,KY,27/09/2021,39,2021,19411,410,61,0.19411,0.0041,27
North Carolina,NC,27/09/2021,39,2021,29569,424,60.1,0.29569,0.00424,27
Ohio,OH,27/09/2021,39,2021,40551,453,54.3,0.40551,0.00453,27
South Carolina,SC,27/09/2021,39,2021,17001,468,55.4,0.17001,0.00468,27
California,CA,25/10/2021,43,2021,44809,635,74.5,0.44809,0.00635,31
Georgia,GA,27/09/2021,39,2021,24457,785,55.1,0.24457,0.00785,27
Florida,FL,27/09/2021,39,2021,33809,1148,67.1,0.33809,0.01148,27
Texas,TX,27/09/2021,39,2021,65270,1804,59.7,0.6527,0.01804,27
Vermont,VT,04/10/2021,40,2021,1230,10,78.4,0.0123,0.0001,28
Alaska,AK,04/10/2021,40,2021,5699,14,57.9,0.05699,0.00014,28
Rhode Island,RI,04/10/2021,40,2021,1835,15,76.2,0.01835,0.00015,28
New Hampshire,NH,04/10/2021,40,2021,3227,15,71.6,0.03227,0.00015,28
Nebraska,NE,04/10/2021,40,2021,4488,15,59.9,0.04488,0.00015,28
Connecticut,CT,04/10/2021,40,2021,2944,17,77.2,0.02944,0.00017,28
North Dakota,ND,04/10/2021,40,2021,4162,21,51.8,0.04162,0.00021,28
South Dakota,SD,04/10/2021,40,2021,2332,22,60.1,0.02332,0.00022,28
Delaware,DE,04/10/2021,40,2021,3077,25,67.3,0.03077,0.00025,28
Hawaii,HI,04/10/2021,40,2021,1374,36,77.3,0.01374,0.00036,28
Wyoming,WY,04/10/2021,40,2021,3141,45,49.3,0.03141,0.00045,28
Maine,ME,04/10/2021,40,2021,2675,49,74.8,0.02675,0.00049,28
Utah,UT,04/10/2021,40,2021,9972,56,59.8,0.09972,0.00056,28
New Mexico,NM,04/10/2021,40,2021,5147,58,73.3,0.05147,0.00058,28
Kansas,KS,04/10/2021,40,2021,6301,62,60.7,0.06301,0.00062,28
